"Site_Code","Point_Type","Tree_Num","Watershed","Latitude","Longitude","X.UTM","Y.UTM","Horz_Prec","Count.medium","Count.small","Unhealthy_Site","Cow_Damage","Site_Notes","Site_Notes.2019","Elevation","Cos.aspect","Slope","Summer.Insolation","Count.adult.dead","Count.adult.damaged","DBH.center","DBH.mean","Basal.area.density","Plot.radius","Soil.type","Canopy_openness","Geologic.Unit","Fraction.Organic","d15N","d13C","fracN","fracC","Genotype","Ploidy_level"
"DEYR","Grid",233,"Oh-be-Joyful Creek-Slate River",38.9097221,-107.02253,324635.476837733,4308702.93437126,0.7,0,4,0,0,NA,"",2807.41209902906,-0.233340213780639,11.2092723364661,20.5570793151855,0,0,33,29.6555555555556,0.0061466843100189,11.5,"Soil",3,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"DFRLK","Random",315,"Washington Gulch-Slate River",38.9407769,-107.01779,325122.792208265,4312140.42304559,0.5,0,0,0,0,"NA","",3066.66665534129,-0.881933398898457,8.24802439881637,21.9631156921387,0,0,11.8,14.725,0.00295736111111111,6,"Soil",2,"Kmu",NA,NA,NA,NA,NA,"DFRLK","Triploid"
"DFZI","Grid",211,"Oh-be-Joyful Creek-Slate River",38.9092112,-107.02342,324557.043840156,4308647.94477647,0.6,0,7,0,0,"NA","",2781.03962491227,-0.540779831787088,26.7451538379316,22.3860530853271,0,0,43.8,24.1181818181818,0.00892692592592592,9,"Soil",3,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"DKWBZ","Random",351,"Coal Creek",38.8690164,-107.05138,322032.203893438,4304241.13131062,2.2,1,18,0,0,"NA","",3136.57524890362,-0.916188094258593,17.2215617437043,23.344612121582,1,0,46.3,27.9818181818182,0.0416062655749377,5.3,"Soil",4,"Qdu",NA,NA,NA,NA,NA,"DKWBZ_351_18","Triploid"
"DNNZ","Grid",275,"Oh-be-Joyful Creek-Slate River",38.9089911,-107.02109,324758.545607782,4308619.03633957,0.8,4,15,0,0,"NA","",2810.01139421493,-0.848931217375503,17.5922146391782,23.4238872528076,3,0,27.9,16.5,0.0242059829059829,3.9,"Soil",4,"Ql",NA,NA,NA,NA,NA,"DNNZ_275_18","Triploid"
"DNSQI","Random",393,"Oh-be-Joyful Creek-Slate River",38.9375042,-107.04716,322568.973982209,4311833.98362783,1.2,0,9,0,0,"NA","",3048.01743281255,-0.803700460938073,15.7163655310609,22.755392074585,2,3,39.8,32.1909090909091,0.0208228088888889,7.5,"Soil",3,"Kmu",0.138143142216462,NA,NA,NA,NA,"DNSQI_393_18","Triploid"
"DPEXK","Random",288,"Middle East River",38.9520297,-106.97545,328819.691553831,4313308.89385875,0.6,1,3,1,0,"NA","",2974.03178971172,-0.942759629936345,8.26726684163105,21.8796157836914,1,1,29,21.6,0.0119967206790123,7.2,"Soil",3,"Kmf",NA,NA,NA,NA,NA,"DPEXK","Triploid"
"DRCAD01","Random",374,"Middle East River",38.9503018,-106.942,331714.411441074,4313054.80009602,1.8,0,14,1,0,"Deer Creek All Dead","",3243.48734906957,-0.888636594710037,14.0430886328238,23.1798057556152,4,3,17.8,19.7090909090909,0.0185546855476885,4.9,"Soil",2,"Qt",NA,NA,NA,NA,NA,"DRCAD01","Diploid"
"DRCBB01","Random",381,"Middle East River",38.9396272,-106.94081,331792.305752958,4311867.89777663,0.7,0,2,1,0,"white bark with many black scars","",3050.98734031074,-0.922485503872131,20.7020482497764,24.0207977294922,5,2,18,20.0090909090909,0.0191548104956268,4.9,"Talus",2,"Qu",0.119770476702234,NA,NA,NA,NA,"DRCBB01","Triploid"
"DRCRS01","Random",378,"Middle East River",38.9457195,-106.93325,332461.919977343,4312530.11326719,0.5,0,2,1,0,"really steep","",3207.49548662584,-0.886862866745806,30.7024427884659,24.5085563659668,7,0,22.6,17.0909090909091,0.0190694429421309,4.3,"Scree",3,"Qm",0.0919712577648822,NA,NA,NA,NA,"DRCRS01","Diploid"
"DRCSA01","Random",290,"Middle East River",38.9506439,-106.9735,328985.348986305,4313151.42955902,0.7,0,0,1,0,"Very dead looking","",2952.05897689928,-0.973243544187468,12.4662321324231,22.7706336975098,4,5,24.1,23.5181818181818,0.0214747942386831,5.4,"Soil",2,"Kmf",NA,NA,NA,NA,NA,"DPEXK_288_18","Triploid"
"DRMD","Grid",263,"Oh-be-Joyful Creek-Slate River",38.909903,-107.02164,324713.09671331,4308721.29996224,0.6,0,0,0,0,"NA","",2821.50928029805,-0.625871149765364,14.1664353240518,22.0012645721436,2,1,24.2,19.1636363636364,0.0210440493827161,4.5,"Soil",4,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"DVNBJ","Random",470,"Oh-be-Joyful Creek-Slate River",38.9340185,-107.04308,322913.953684245,4311439.1870118,1.1,0,0,0,0,"NA","",3031.68172822482,-0.922452238064737,19.6122271079499,22.8529453277588,0,1,25,17.3818181818182,0.0141751275510204,5.6,"Soil",5,"Ql",NA,NA,NA,NA,NA,"CAJTV_468_18","Diploid"
"DWHUR","Random",363,"Coal Creek",38.8618572,-107.0585,321396.529743039,4303460.48530607,1.3,1,1,0,0,"NA","",3049.13531848243,-0.995081365549097,11.4728444350588,23.1156444549561,0,4,29.3,15.73,0.021309993425378,3.9,"Talus",3,"Qlf",0.197812677542407,NA,NA,NA,NA,"DWHUR","Triploid"
"DWLFN","Random",398,"Oh-be-Joyful Creek-Slate River",38.9416222,-107.05354,322026.257473824,4312303.46279317,0.7,2,3,0,0,"NA","",2932.79222018696,-0.318585900510493,20.5323321744291,21.2553367614746,1,2,16.3,15.4545454545455,0.00958340495867769,5.5,"Talus",3,"Kmu",NA,NA,NA,NA,NA,"DWLFN_398_18","Triploid"
"DWPM","Grid",28,"Middle East River",38.9506703,-106.96506,329716.845556329,4313138.54919054,0.5,0,8,0,0,"NA","",3071.47407745188,-0.977128221128756,22.6912881394139,24.4192123413086,3,0,17.1,23.1909090909091,0.0221902100391598,5.3,"Soil",3,"Tg",NA,-0.16353904,-26.49451886,2.98737768884442,49.5446213106553,"ACFL_031_18","Triploid"
"DXLWT","Random",331,"Coal Creek",38.8774278,-107.0299,323916.638459711,4305132.98708499,0.6,4,19,0,0,"NA","",3077.17019004923,-0.961299044897547,21.9268986699688,24.2471294403076,2,0,24.9,12.8,0.0114662570888469,4.6,"Soil",2,"Kmv",0.133879665406989,NA,NA,NA,NA,"DXLWT_331_18","Triploid"
"DXOR","Grid",215,"Oh-be-Joyful Creek-Slate River",38.9101063,-107.02311,324586.129251279,4308746.69018473,1,0,6,0,0,"NA","",2802.94639711389,-0.562415290192493,12.8007887107766,21.6697082519531,1,1,26.2,20.5727272727273,0.0148916493236212,6.2,"Soil",3,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"EBUVG","Random",431,"Washington Gulch-Slate River",38.9175481,-106.98081,328272.011009622,4309492.07686899,0.6,0,15,0,0,"NA","",3090.57368303497,0.143762806071284,30.2081042798887,17.2999496459961,2,0,19.8,12,0.0041789349112426,6.5,"Talus",3,"Qlf",NA,NA,NA,NA,NA,"EBUVG","Triploid"
"ECGX","Grid",202,"Coal Creek",38.8638177,-107.05142,322015.764809256,4303664.23784534,0.5,0,0,0,1,"Lots of cow damage","",3024.18637079978,-0.67542467982283,11.7088818609599,22.0863018035889,4,0,36.4,21.01,0.0267436466942149,4.4,"Soil",3,"Qdu",NA,NA,NA,NA,NA,"CZUE_196_18","Triploid"
"EECZ","Grid",240,"Oh-be-Joyful Creek-Slate River",38.9089779,-107.02226,324657.05764231,4308619.82073771,0.7,0,2,0,0,NA,"",2796.05783976381,-0.986444718046836,15.820480198964,23.6643562316895,1,0,29.3,22.6090909090909,0.0183602031394275,5.7,"Scree",4,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"EFMD","Grid",57,"Middle East River",38.9513795,-106.96333,329868.468139199,4313214.02663161,1.2,0,1,0,0,"NA","",3121.91548676644,-0.989235623368073,28.1227639026118,25.1826400756836,1,0,29.2,27.8363636363636,0.030225,5.6,"Talus",3,"Qm",NA,NA,NA,NA,NA,"EFMD_057_18","Triploid"
"EFNK","Grid",125,"Washington Gulch-Slate River",38.9229621,-106.99489,327064.377402713,4310119.56144115,0.7,0,0,0,0,"NA","",3038.99451288448,-0.696717657158855,15.0363547892367,22.2402687072754,1,1,31.7,29.1636363636364,0.0198968283973955,6.9,"Soil",3,"Qt",NA,NA,NA,NA,NA,"AHUK_131_18","Triploid"
"EHCTY","Random",301,"Middle East River",38.9455945,-106.95959,330178.773937984,4312565.00688904,2.6,0,3,0,0,"Very wet site. Lots of Veratrum","",2946.17116479124,-0.807555060501268,14.0122019770334,22.3837947845459,2,0,31.9,28.0727272727273,0.0168440533333333,7.5,"Soil",2,"Qu",0.207393882198469,NA,NA,NA,NA,"CJLAV_302_18","Triploid"
"EIQV","Grid",174,"Coal Creek",38.863145,-107.05085,322063.545860529,4303588.46762137,1.2,9,6,0,0,"NA","",2992.48793874626,-0.889012177337982,23.6242099824152,24.1600322723389,0,1,30.1,19.5363636363636,0.0212546,5,"Soil",3,"Qmy",NA,NA,NA,NA,NA,"CZUE_196_18","Triploid"
"EKXF","Grid",207,"Coal Creek",38.8640159,-107.05202,321964.197685791,4303687.40512076,1.4,0,0,0,0,"NA","",3026.30119438162,-0.729379918455853,9.7528049912972,21.3136901855469,1,1,38.7,31.4090909090909,0.0235953382265424,7.1,"Soil",3,"Qdu",NA,NA,NA,NA,NA,"CC01_210_18","Triploid"
"EMSA","Grid",74,"Washington Gulch-Slate River",38.921325,-106.99496,327054.332453437,4309938.00250109,0.9,8,12,0,0,"NA","",2994.38105949413,-0.724775531333186,20.0646966427962,22.8721561431885,1,2,10.3,13.5363636363636,0.0194769888231427,3.9,"Soil",4,"Qt",0.0935513169845596,NA,NA,NA,NA,"ABPZ_076_18","Triploid"
"EOAU","Grid",52,"Middle East River",38.9513641,-106.96476,329744.504951902,4313214.98913182,1.1,2,0,0,0,"NA","",3114.21489403168,-0.97438086009569,26.2916710176909,24.9865837097168,1,0,27.2,18.9,0.0134457596253902,6.2,"Soil",3,"Qm",NA,-0.011004,-27.6345376,2.74343725490196,47.8511607843137,"EOAU_052_18","Triploid"
"EQIB","Grid",84,"Washington Gulch-Slate River",38.921771,-106.99601,326964.382558108,4309989.49401275,0.5,12,8,0,0,"NA","",2985.25878620945,-0.621736383373565,17.3387768570459,22.1372776031494,2,0,32.4,20.07,0.0148442114334961,5.9,"Soil",3,"Qt",NA,NA,NA,NA,NA,"ABPZ_076_18","Triploid"
"ERNAK","Random",477,"Oh-be-Joyful Creek-Slate River",38.9310455,-107.04464,322771.324416801,4311112.26191189,0.9,3,6,0,0,"NA","",2868.29192506148,-0.906664298826898,36.3068635968215,25.3620319366455,3,2,20.4,17.5727272727273,0.00702747512228032,7.7,"Soil",2,"Kmu",0.0942042356028456,NA,NA,NA,NA,"ERNAK","Diploid"
"EXFO","Grid",112,"Washington Gulch-Slate River",38.9227373,-106.99423,327121.051456847,4310093.36027813,0.9,0,0,0,0,"NA","",3044.11190052403,-0.721417034440072,15.5069741982785,22.3750114440918,1,1,19.3,24.2545454545455,0.0371946998377501,4.3,"Soil",3,"Qt",NA,NA,NA,NA,NA,"AFOG_113_18","Triploid"
"EXIMR","Random",309,"Washington Gulch-Slate River",38.9439167,-107.00315,326399.377938668,4312460.89500215,1.2,17,16,1,1,"NA","",3148.69177665196,-0.882960041625945,21.0063701220082,23.6023807525635,1,0,19.8,19.7272727272727,0.019230987088713,4.9,"Talus",3,"Qr",0.0474578463926863,NA,NA,NA,NA,"EXIMR","Triploid"
"EYFLW","Random",485,"Oh-be-Joyful Creek-Slate River",38.9571813,-107.07681,320048.700152335,4314076.01091709,0.9,0,12,0,0,"NA","center tree DBH = 31.5",2956.15961656303,-0.81690628898,28.67536759174,24.0431041717529,0,0,31.5,20.6818181818182,0.0227521337946944,5.1,"Talus",3,"Qt",NA,NA,NA,NA,NA,"EYFLW","Diploid"
"FAMLP","Random",364,"Coal Creek",38.861708,-107.05823,321419.584768081,4303443.39818812,0.4,0,2,0,0,"Nice seep beneath site with good riparian vegetation","",3047.18707736466,-0.997015820051389,17.518839410235,24.3425807952881,0,0,11.8,10.5272727272727,0.00147315527387958,9.4,"Talus",2,"Qlf",0.0822754586334514,NA,NA,NA,NA,"FAMLP","Triploid"
"FBFZ","Grid",279,"Oh-be-Joyful Creek-Slate River",38.9099046,-107.02114,324756.45713301,4308720.51638888,1,0,2,0,0,"NA","",2831.86337235855,-0.582803890831818,17.9004083916745,21.7736930847168,0,1,23,21.6,0.0658649227110583,2.9,"Soil",5,"Ql",NA,NA,NA,NA,NA,"FBFZ_279_18","Triploid"
"FBPJG","Random",388,"Oh-be-Joyful Creek-Slate River",38.9348446,-107.04699,322577.079217201,4311538.47718857,0.6,0,2,0,0,"NA","",2972.55716350854,-0.402664057105941,30.115594575124,20.9769954681396,1,0,33.3,22.2909090909091,0.0148686409550046,6.6,"Soil",2,"Kmu",NA,NA,NA,NA,NA,"AQPIX_387_18","Triploid"
"FDHW","Grid",105,"Washington Gulch-Slate River",38.9224086,-106.99537,327021.41833039,4310059.04263376,3.2,0,1,0,0,"NA","",3015.03465133936,-0.666248476070426,20.821879517594,22.6841926574707,0,1,33.8,28.3818181818182,0.0339196159122085,5.4,"Soil",4,"Qt",NA,NA,NA,NA,NA,"AFOG_113_18","Triploid"
"FGWLJ","Random",430,"Washington Gulch-Slate River",38.9172207,-106.98395,327998.972211553,4309461.6605563,0.4,0,6,0,0,"NA","",3109.43937652083,-0.96768695497158,26.2381436298449,25.135009765625,1,0,21.8,19.6181818181818,0.0150214677640604,5.4,"Talus",4,"Tp",0.0966641693939514,NA,NA,NA,NA,"FGWLJ_430_18","Triploid"
"FJCT","Grid",88,"Washington Gulch-Slate River",38.9217957,-106.99474,327074.549270134,4309989.82523634,2.9,0,0,0,0,"NA","",3012.81509817239,-0.725372971454383,18.4509490801091,22.7600631713867,0,0,24.8,25.1545454545455,0.0193835693359375,6.4,"Soil",4,"Qt",NA,NA,NA,NA,NA,"AFOG_113_18","Triploid"
"FJPN","Grid",62,"Middle East River",38.9515817,-106.96451,329766.691162199,4313238.67202997,0.5,0,9,0,0,"NA","",3126.02214511289,-0.977623555283787,26.862786491393,24.9802761077881,1,0,8.8,17.8363636363636,0.00739235555555556,7.5,"Talus",2,"Qm",NA,-0.75865232,-27.41425346,2.18111940298507,47.0039845771144,"APCV_068_18","Triploid"
"FLOA","Grid",182,"Coal Creek",38.863353,-107.05173,321987.706948156,4303613.26830225,0.6,1,5,0,0,"NA","",3012.21651811476,-0.984777639067057,18.7602603470514,24.272388458252,0,1,21.5,23.7454545454545,0.0330050701674966,4.7,"Soil",4,"Qdu",NA,NA,NA,NA,NA,"FLOA_182_18","Triploid"
"FLVQR","Random",449,"Oh-be-Joyful Creek-Slate River",38.9123091,-107.02183,324702.542541522,4308988.70412329,0.6,0,15,0,0,"NA","",2875.44549478521,-0.99767492330088,21.4353590520534,24.5326881408691,1,0,10.7,12.7636363636364,0.00682187871581451,5.8,"Talus",3,"Ql",NA,NA,NA,NA,NA,"BDGAP_445_18","Triploid"
"FOASS01","Random",496,"Middle East River",38.9794084,-106.98917,327697.067069122,4316373.37831403,2.3,0,9,0,0,"Face of Avery steep slope","",3129.17757270217,-0.38956076055514,25.4628758671476,21.1842365264893,0,0,22.4,21.0555555555556,0.012751881643206,5.9,"Soil",3,"Qt",NA,NA,NA,NA,NA,"FOASS01","Diploid"
"FOIQ","Grid",119,"Washington Gulch-Slate River",38.9226474,-106.99629,326942.237074156,4310087.29188695,0.4,2,5,0,0,"NA","",3000.83742647938,-0.616105673929648,20.9440120167149,22.4554786682129,0,0,11.4,17.2,0.0188523313716614,4.7,"Soil",3,"Qt",NA,NA,NA,NA,NA,"AHUK_131_18","Triploid"
"FOOOT01","Random",499,"Middle East River",38.9919059,-107.00827,326073.071861404,4317796.73796577,1.4,0,0,0,0,"401 off trail","",2992.44799602026,-0.845214804017506,17.8387459167787,23.1579074859619,2,0,24.2,16.6909090909091,0.0179482118605704,4.7,"Soil",3,"Kmu",NA,NA,NA,NA,NA,"FOOOT01","Triploid"
"FOWCL","Random",345,"Coal Creek",38.8646673,-107.04739,322367.560685389,4303750.67801102,3,0,0,0,0,"in dense conifer grove","",2991.52653916651,-0.850082791601521,5.08566317555027,21.1482601165771,5,0,28.2,15.68,0.0507388888888889,1.8,"Soil",5,"Qdu",NA,NA,NA,NA,NA,"AZLSF_347_18","Triploid"
"FOZN","Grid",236,"Oh-be-Joyful Creek-Slate River",38.9089245,-107.02253,324633.513379583,4308614.41346227,0.7,0,0,0,0,NA,"",2792.05294204099,-0.784452004877246,20.4815683454263,23.2428932189941,0,0,26.1,25.4090909090909,0.0230655293367347,5.6,"Soil",5,"Ql",NA,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"FPLA","Grid",133,"Washington Gulch-Slate River",38.9221832,-106.99593,326972.320047534,4310035.08972152,0.9,3,2,0,0,"NA","",2997.51971452048,-0.637521594117651,22.5401513578924,22.6388149261475,0,0,29.5,26.1454545454545,0.0263008925619835,5.5,"Soil",3,"Qt",0.0892352778780608,NA,NA,NA,NA,"AHUK_131_18","Triploid"
"FQPU","Grid",156,"Coal Creek",38.8626862,-107.05107,322043.312175326,4303537.97722956,0.5,10,4,0,0,"NA","",2972.96735502636,-0.996469783903613,20.4958830113627,24.0914287567139,0,1,10.4,16.7090909090909,0.0125535665294925,5.4,"Soil",2,"Qmy",NA,NA,NA,NA,NA,"BYUQ_157_18","Triploid"
"FSCP","Grid",280,"Oh-be-Joyful Creek-Slate River",38.9101005,-107.02104,324765.610329222,4308742.06596877,1.1,0,31,0,0,"NA","",2840.94598254336,-0.662247020933943,14.851295453505,22.0995674133301,2,0,30.2,29.2909090909091,0.0296107222222222,6,"Soil",4,"Ql",NA,NA,NA,NA,NA,"FSCP_280_18","Triploid"
"FSPC","Grid",78,"Washington Gulch-Slate River",38.9215461,-106.99488,327061.80532962,4309962.38925871,0.5,5,22,0,0,"NA","",3004.14014963452,-0.728988951455998,16.7798471068641,22.563175201416,2,0,35.7,21.2,0.0183999405469679,5.8,"Soil",4,"Qt",0.123598149164771,NA,NA,NA,NA,"ABPZ_076_18","Triploid"
"FSUW","Grid",108,"Washington Gulch-Slate River",38.922509,-106.99453,327094.4879707,4310068.59168215,0.9,0,6,0,0,"NA","",3034.52113722936,-0.754147103483012,14.0952788031608,22.2888164520264,3,0,29.6,18.9090909090909,0.0138032777777778,6,"Soil",4,"Qt",0.052687631869788,NA,NA,NA,NA,"AFOG_113_18","Triploid"
"FUCD","Grid",60,"Middle East River",38.9515997,-106.96396,329814.398065544,4313239.64208121,2.9,0,12,0,0,"NA","",3129.91757601451,-0.994759881459997,27.01288370927,25.2206058502197,0,0,19.5,19.6181818181818,0.0206638020833333,4.8,"Talus",3,"Qm",NA,-0.71456784,-25.84794644,1.85645305514158,48.2420695479384,"ABEY_034_18","Diploid"
"FUVF","Grid",260,"Oh-be-Joyful Creek-Slate River",38.9091789,-107.02164,324711.314967492,4308640.9363905,0.7,0,5,0,0,"NA","",2804.8577704151,-0.919927137471066,14.7149237551347,22.7087306976318,2,0,17.3,13.9363636363636,0.02521396484375,3.2,"Soil",4,"Ql",NA,NA,NA,NA,NA,"AHQT_229_18","Triploid"
"FXBC","Grid",253,"Oh-be-Joyful Creek-Slate River",38.9094157,-107.02187,324691.953522782,4308667.65962581,0.5,1,18,1,0,NA,"",2810.10290170804,-0.899549285047799,11.1105637298903,22.5100803375244,1,0,11.8,9.59090909090909,0.00185741067136677,7.9,"Soil",2,"Ql",NA,NA,NA,NA,NA,"FXBC_253_18","Triploid"
"FYSUQ","Random",356,"Coal Creek",38.8653815,-107.05253,321923.353701605,4303839.95960008,2.3,2,4,0,0,"NA","",3062.36717053914,-0.932063498758076,17.7394800697465,23.6916484832764,1,1,22.5,25.1090909090909,0.0121048068814303,7.7,"Soil",1,"Qdu",NA,NA,NA,NA,NA,"FYSUQ","Triploid"
"FYXEJ","Random",339,"Coal Creek",38.8731688,-107.03119,323794.2060151,4304662.79812066,1,0,6,0,0,"Site beautiful, like amphitheatre","",3039.45143097785,-0.948079784716706,11.3503697078254,22.4212818145752,0,2,48.7,31.7727272727273,0.0146663953993056,9.6,"Talus",4,"Qlu",NA,NA,NA,NA,NA,"FYXEJ_339_18","Triploid"
"FYZG","Grid",61,"Middle East River",38.9516152,-106.96424,329790.169935448,4313241.8854691,0.6,0,3,0,0,"NA","",3132.58093051019,-0.985515880189399,23.4141897100299,24.8077526092529,4,0,25.6,23.0181818181818,0.0235871587850827,5.1,"Talus",4,"Qm",NA,-0.35888624,-25.77350219,3.03471177944862,47.9218055137845,"APCV_068_18","Triploid"
"GAULT","Random",461,"Middle East River",38.9139078,-106.8986,335391.430695206,4308936.41945524,1,11,13,0,0,"NA","",3035.90747678595,-0.450723835506167,25.9913367839115,21.5436325073242,5,2,15,10.1272727272727,0.00240760030864198,7.2,"Soil",1,"Qu",NA,NA,NA,NA,NA,NA,NA
"GBAI","Grid",89,"Washington Gulch-Slate River",38.9217755,-106.99451,327094.440799651,4309987.14705494,1,1,3,0,0,"NA","",3017.53075306528,-0.747244700031198,19.5626102433966,22.9407596588135,2,0,14.6,22.6909090909091,0.02674696,5,"Soil",3,"Qt",0.0864083829639181,NA,NA,NA,NA,"AFOG_113_18","Triploid"
"GBNL","Grid",149,"Coal Creek",38.8624808,-107.05081,322065.360395733,4303514.67424266,0.6,1,1,0,0,"NA","",2962.46578926686,-0.839060701939086,22.0360409125067,23.6505584716797,0,0,18.2,21.8181818181818,0.0139661538461538,6.5,"Soil",3,"Qmy",NA,NA,NA,NA,NA,"CNXB_160_18","Triploid"
"GBNZ","Grid",195,"Coal Creek",38.8635954,-107.05148,322010.004114768,4303639.68317052,1.1,1,7,0,0,"NA","",3018.68603543672,-0.966892040146579,18.6016160861262,23.433500289917,2,1,23.3,17.0909090909091,0.0157958350687214,4.9,"Scree",4,"Qdu",NA,NA,NA,NA,NA,"CZUE_196_18","Triploid"
"GCJEZ","Random",466,"Oh-be-Joyful Creek-Slate River",38.9298601,-107.03944,323219.155188483,4310970.60088153,0.8,0,2,0,0,"NA","",2980.54128008683,-0.289152159864608,23.4453252133825,20.8181037902832,1,0,23.3,28.7818181818182,0.0245267755102041,7,"Talus",4,"Ql",NA,NA,NA,NA,NA,"GCJEZ_466_18","Triploid"
"GDAOC01","Random",283,"Middle East River",38.9629905,-106.98648,327890.34757887,4314546.15646102,1,12,8,1,0,"Lots of dead trees and recruits. Are recruits same genotype as adults?","",2995.38691446851,-0.632204171344252,12.2149299624923,21.7784461975098,7,2,17.1,18.1,0.012701323484149,5.7,"Soil",1,"Tg",NA,NA,NA,NA,NA,"GDAOC01_283_18","Triploid"
"GHLPC","Random",365,"Coal Creek",38.8611471,-107.0605,321221.206841849,4303385.59139931,0.4,3,0,0,0,"maybe diploids?","",3037.13862292075,-0.485532162231724,15.7851292563075,21.3916168212891,0,0,13.7,15.6272727272727,0.00864230340833148,6.7,"Talus",3,"Qt",NA,NA,NA,NA,NA,"GHLPC","Diploid"
"GITMZ","Random",296,"Middle East River",38.9554271,-106.96003,330164.116928695,4313657.08728376,1.1,1,68,1,0,"Unhealthy patch","",3309.82409979775,-0.933825003761018,27.173529857573,24.6937999725342,3,3,27.9,21.3888888888889,0.0100276170798898,6.6,"Talus",2,"Tg",0.243797750879904,NA,NA,NA,NA,"GITMZ","Triploid"
"GJBOV","Random",495,"Washington Gulch-Slate River",38.8754125,-106.95359,330531.909646662,4304764.8227956,0.8,2,0,0,0,"NA","",2776.23909089691,-0.629813320211346,5.48350001002199,20.6773719787598,1,2,18.7,14.1636363636364,0.026290234375,3.2,"Talus",3,"Qd",NA,NA,NA,NA,NA,"GJBOV","Diploid"
"GJSO","Grid",203,"Coal Creek",38.863796,-107.05116,322038.270741068,4303661.32247739,0.9,2,13,0,0,"NA","",3018.71006520873,-0.694150041105134,15.4096678465696,22.3041954040527,0,0,15.9,14.9272727272727,0.0100879338842975,5.5,"Soil",3,"Qdu",NA,NA,NA,NA,NA,"CZUE_196_18","Triploid"
"GKBH","Grid",69,"Middle East River",38.9517886,-106.96397,329813.983405415,4313260.62563364,1,11,16,0,0,"NA","",3137.91678367498,-0.979655360084675,20.242147832608,24.330005645752,3,1,37.5,24.5636363636364,0.03122728,5,"Talus",4,"Qm",NA,-0.1815464,-26.73333672,2.42208752515091,48.2409683098591,"GKBH_069_18","Triploid"
"GKPW","Grid",504,"Washington Gulch-Slate River",38.9222133,-106.99574,326988.865748508,4310038.06969013,0.8,0,0,0,0,"NA","",3003.13900266754,-0.655496944783642,18.4618429584673,22.357120513916,1,0,18.8,25.4272727272727,0.0232868882733149,5.7,"Soil",3,"Qt",NA,NA,NA,NA,NA,"ABPZ_076_18",NA
"GLQX","Grid",198,"Coal Creek",38.8635446,-107.05225,321943.064665066,4303635.54717495,1.1,0,1,0,1,"Lots of cow damage","",3022.18566422844,-0.713277994957308,18.4866353198698,23.1755123138428,1,0,25.4,26.5545454545455,0.0291385802469136,5.4,"Soil",4,"Qdu",NA,NA,NA,NA,NA,"FLOA_182_18","Triploid"
"GOPXK","Random",334,"Coal Creek",38.8755574,-107.03931,323095.656477723,4304943.60571366,1,4,14,0,0,"NA","",3247.60932282186,-0.954179542535049,23.6755051095046,24.3726425170898,0,1,31,15.8636363636364,0.0243779085872576,3.8,"Talus",5,"Kmv",0.053775673973549,NA,NA,NA,NA,"GOPXK","Triploid"
"GPDI","Grid",140,"Washington Gulch-Slate River",38.9221984,-106.99402,327137.94956268,4310033.15278633,0.7,0,0,0,0,"NA","",3036.01788347575,-0.717592847661831,15.0951311430353,22.3138809204102,3,1,24.7,23.8636363636364,0.0298005885015844,4.7,"Soil",4,"Qt",NA,NA,NA,NA,NA,"AFOG_113_18","Triploid"
"GPLWN","Random",436,"Oh-be-Joyful Creek-Slate River",38.9141948,-107.01678,325145.057327124,4309188.28903891,0.6,6,7,0,0,"NA","",2961.11435511022,-0.891497700456364,13.0755000474199,22.6739463806152,2,0,27.3,19.0727272727273,0.0106779411764706,6.8,"Soil",3,"Ql",NA,NA,NA,NA,NA,"GPLWN","Triploid"
"GPOI","Grid",176,"Coal Creek",38.8631453,-107.0514,322015.822967942,4303589.57336805,0.5,2,5,0,0,"NA","",2999.06996155909,-0.982448638617312,29.0397116042103,25.3669357299805,2,2,12.1,18.3727272727273,0.0131131388888889,6,"Soil",3,"Qdu",NA,NA,NA,NA,NA,"CZUE_196_18","Triploid"
"GPQAO","Random",447,"Oh-be-Joyful Creek-Slate River",38.9114888,-107.01462,325325.710091801,4308883.82565473,0.7,0,0,0,0,"NA","",2913.77061877652,0.168552605564331,1.66172763027008,19.9394569396973,2,0,29.9,26.1714285714286,0.0154120236686391,6.5,"Soil",2,"Qal",NA,NA,NA,NA,NA,"GPQAO_447_18","Triploid"
"GQCI","Grid",178,"Coal Creek",38.8630673,-107.05192,321970.507821215,4303581.93085442,0.7,5,4,0,0,"NA","",3000.06391325675,-0.955200431199961,22.3087261195771,24.3836784362793,0,3,14.4,23.8818181818182,0.0589385030864197,3.6,"Talus",4,"Qdu",NA,NA,NA,NA,NA,"CZUE_196_18","Triploid"
"GRFO","Grid",153,"Coal Creek",38.8626519,-107.05197,321965.132857998,4303535.92574005,3,1,5,0,0,"NA","",2978.89648510292,-0.961730938494643,26.4181107673466,24.7059478759766,0,0,27.3,28.8857142857143,0.0891792899408284,2.6,"Talus",4,"Kmvo",NA,NA,NA,NA,NA,"GRFO_153_18","Triploid"
